Player,Ft.,In.,PlayerID
Michael King,6,3,kingmi01
Matt Koch,6,3,kochma01
Stephen Kolek,6,3,kolekst01
Michael Kopech,6,3,kopecmi01
Chad Kuhl,6,3,kuhlch01
Dinelson Lamet,6,3,lametdi01
Alex Lange,6,3,langeal01
Derek Law,6,3,lawde01
Justin Lawrence,6,3,lawreju01
Jordan Leasure,6,3,leasujo01
Dylan Lee,6,3,leedy01
Jorge López,6,3,lopezjo02
Michael Lorenzen,6,3,lorenmi01
Josh Maciejewski,6,3,maciejo01
Ty Madden,6,3,maddety01
Tyler Mahle,6,3,mahlety01
Luke Maile,6,3,mailelu01
José Marte,6,3,martejo01
Justin Martínez,6,3,martiju01
Tyler Matzek,6,3,matzety01
Tim Mayza,6,3,mayzati01
James McCann,6,3,mccanja02
Chayce McDermott,6,3,mcderch01
T.J. McFarland,6,3,mcfartj01
John McMillon,6,3,mcmiljo01
Shelby Miller,6,3,millesh01
Hoby Milner,6,3,milneho01
Casey Mize,6,3,mizeca01
Matt Moore,6,3,moorema02
Andrew Nardi,6,3,nardian01
Nick Nastrini,6,3,nastrni01
Ryne Nelson,6,3,nelsory01
Luis Ortiz,6,3,ortizlu02
Ryan Pepiot,6,3,pepiory01
Zach Plesac,6,3,plesaza01
Colin Poche,6,3,pocheco01
Cade Povich,6,3,povicca01
Quinn Priester,6,3,priesqu01
Cal Quantrill,6,3,quantca01
Brooks Raley,6,3,raleybr01
Sean Reid-Foley,6,3,reidfse01
Taylor Rogers,6,3,rogerta01
Tyler Rogers,6,3,rogerty01
Josh Rogers,6,3,rogerjo01
Andrew Saalfrank,6,3,saalfan01
Patrick Sandoval,6,3,sandopa02
Cole Sands,6,3,sandsco01
Tony Santillan,6,3,santito01
Josh Sborz,6,3,sborzjo01
Max Scherzer,6,3,scherma01
Tayler Scott,6,3,scottta02
Paul Sewald,6,3,sewalpa01
Jared Shuster,6,3,shustja01
Tarik Skubal,6,3,skubata01
AJ Smith-Shawver,6,3,smithaj01
José Soriano,6,3,soriajo02
Alex Speas,6,3,speasal01
Carson Spiers,6,3,spierca01
Jeffrey Springs,6,3,sprinje01
Josh Staumont,6,3,staumjo01
Brock Stewart,6,3,stewabr01
Hunter Strickland,6,3,strichu01
Albert Suárez,6,3,suareal01
Erik Swanson,6,3,swanser01
Touki Toussaint,6,3,toussto01
Cole Tucker,6,3,tuckeco01
Spencer Turnbull,6,3,turnbsp01
Abner Uribe,6,3,uribeab01
Ricky Vanasco,6,3,vanasri01
Nick Vespi,6,3,vespini01
Thyago Vieira,6,3,vieirth01
Hayden Wesneski,6,3,wesneha01
Mitch White,6,3,whitemi03
Owen White,6,3,whiteow01
