"","pitcher","pitch_type","pitcher_name","diff2","active_spin","axis","p_throws","ball_angle","vMove","vMove_trans","hMove","Pitches","Whiff","Swing","Whiff_p","GB_p","FB_p","Velocity","RP_z","RP_x","VAA","release_angle_x","release_angle_z","Spin","bat_speed_diff","Zone_loc","Extension","Zone_loc_sd","EV","LA","Height","Pitches_total"
"312",664747,"FF","Díaz, Alexis",11.6117100118419,0.78277788571769,52.4701294642649,"R",8.57049469964664,13.094628975265,479.759600517537,10.3643109540636,566,56,236,0.0989399293286219,0.28169014084507,0.492957746478873,93.9227915194346,4.54397526501767,-2.07434628975265,-3.40806258805963,-2.91650700618788,-0.267608530050915,2613.25088339223,-0.709674322986633,0.648286219081272,7.68356890459364,0.48169582006323,87.6281690140845,24.7323943661972,74,977
"313",664854,"FF","Helsley, Ryan",6.08339737588111,0.89708647820371,17.7656571837989,"R",59.1097087378641,17.5219858156028,965.161475378417,3.40765957446809,423,41,223,0.0969267139479905,0.388888888888889,0.388888888888889,99.5628841607565,6.11799054373522,-0.307328605200946,-4.69687568683276,-0.551634436377517,-2.92133183638939,2550.97163120567,0.548754530741566,0.907943262411347,6.5661938534279,0.686788512737505,92.3333333333333,19.3888888888889,74,931
"314",665152,"FF","Kremer, Dean",4.26103198532576,0.978090592481223,29.4626221727812,"R",39.8507890961263,17.9061692969871,1016.73189372005,7.78622668579627,697,81,349,0.116212338593974,0.27,0.56,93.3707317073171,6.02350071736011,-1.99025824964132,-4.60561027174437,-2.63765584968116,-2.21701216387878,2274.28837876614,-0.221083494591111,0.755681492109039,6.20932568149211,0.565634245388653,90.932,23.99,74,2171
"315",665620,"FF","García, Deivi",0.40583197557131,0.965373598055449,31.5685785579062,"R",33.9816455696203,17.2587341772152,930.725162269039,10.0040506329114,158,26,75,0.164556962025316,0.346153846153846,0.384615384615385,95.0525316455696,5.27930379746835,-1.93398734177215,-3.9676148441966,-2.91347798437272,-1.63667664081431,2256.43670886076,-0.0203701383671715,0.838924050632911,6.51455696202532,0.626867234130801,92.1307692307692,18.2307692307692,69,283
"316",665622,"FF","Medina, Luis",9.54318454907917,0.821345675151649,34.7285114785517,"R",43.0039215686274,15.1643137254902,682.29882865444,6.68823529411765,306,18,147,0.0588235294117647,0.350877192982456,0.368421052631579,95.9098039215686,6.2678431372549,-2.23303921568627,-5.17319171434493,-3.03985925542633,-2.61286315683852,2369.77777777778,0.193675280664172,0.897712418300654,6.29901960784314,0.639199290846799,89.919298245614,18,73,720
"317",665795,"FF","Cabrera, Edward",3.06273747486294,0.932475862084498,36.2152800162058,"R",39.6505263157895,15.4102736842105,709.161000905404,9.19124210526316,475,36,219,0.0757894736842105,0.315068493150685,0.383561643835616,96.296,6.134,-1.30901052631579,-5.13595579093434,-2.07690527455361,-2.64826269001019,2247.16421052632,0.697007085612255,0.980231578947368,6.66084210526316,0.680665897780629,93.3123287671233,19.986301369863,77,1734
"318",665871,"FF","Assad, Javier",8.40519168409111,0.906927203466618,28.5575814729607,"R",52.0898009950249,16.5301492537313,839.197651462094,5.63582089552239,402,35,174,0.0870646766169154,0.327272727272727,0.381818181818182,91.494776119403,5.99218905472637,-1.60348258706468,-5.02054481967313,-2.05552890881407,-2.17890051505191,2034.37810945274,0.120235875944726,0.866567164179105,6.52238805970149,0.647325714200937,90.4018181818182,17.8727272727273,73,2538
"319",665896,"FF","Marte, José",2.39148854873363,0.900964266894892,41.0817097564178,"R",30.8853333333333,13.4912,515.372680549888,9.7312,75,10,43,0.133333333333333,0.363636363636364,0.454545454545455,96.56,5.65866666666667,-1.74426666666667,-4.93541552247964,-2.50807909905772,-2.15039044384302,2266.25333333333,1.51771409153851,1.00946666666667,6.984,0.688735412526805,94.9909090909091,19.6363636363636,75,311
"320",666129,"FF","Garrett, Braxton",12.0670789347777,0.818006537834886,37.504509104077,"L",43.1843373493976,14.9725301204819,661.772123593573,6.5089156626506,83,7,32,0.0843373493975904,0.333333333333333,0.333333333333333,90.6951807228916,5.82795180722892,2.62493975903614,-5.01251828830278,3.71037421825758,-1.77667717888915,2238.21686746988,-0.213985648854528,0.850481927710843,6.8144578313253,0.593470371616379,90.0416666666667,22.4166666666667,74,588
"321",666142,"FF","Ragans, Cole",1.59223249744636,0.9931030246071,39.8745059222947,"L",46.3584804297774,17.3069838833461,936.982186198319,12.6075518035303,1303,153,661,0.117421335379893,0.347619047619048,0.40952380952381,95.3994627782041,6.42250959324635,0.992931696085955,-5.19583563513756,2.13661896090408,-2.93795585081642,2552.99539524175,0.53397003002632,0.852532617037606,6.12747505755948,0.616557537379912,90.4786363636364,19.1945701357466,76,3118
